"","ME","ME.se","MAE","MAE.se","RMSE","RMSE.se","Rsq","Model"
"228",0.000514914150397633,0.000575647165205483,0.0748936370331696,0.000379996670530194,0.0997030198215577,0.000108824380455053,0.606042853653681,"Dry SR"
"229",0.000419599437238895,0.000579670662115899,0.0754090294133116,0.000382701690928327,0.100399433878241,0.000110789451649734,0.601034435496549,"Dry SR+VI"
"230",-1.28713187053422e-05,0.000609354164297209,0.0791529730504156,0.000403061791869955,0.105539719854973,0.000124613877147482,0.5618887713532,"Dry VI"
"231",0.00100515486637795,0.000545280446935929,0.070831327464098,0.00036071789224464,0.0944475444312512,9.82400088272011e-05,0.646139130186326,"Dry & Wet SR"
"232",0.00112216849946756,0.000546470798616784,0.0709755502075354,0.000361584696091258,0.09465501578733,9.85962850374372e-05,0.644598768685295,"Dry & Wet SR+VI"
"233",0.000151425955422276,0.000592604338258839,0.0771219285278273,0.000391034166337573,0.102638772506848,0.000114468196018599,0.583378957522073,"Dry & Wet VI"
"234",0.000368201102554049,0.000809558521079857,0.109445419187731,0.000506049640679105,0.140215458397582,0.000178796991691984,0.238808319060612,"PALSAR"
"235",0.000803892949433464,0.000567722651848394,0.0738272544489414,0.000375015096659908,0.0983324560280506,0.000106632467405566,0.616399610864895,"PALSAR & Dry SR"
"236",0.00113725973613549,0.000582072736967938,0.0758072307836482,0.000383772250134556,0.100821009100314,0.000112226291772878,0.596816724861186,"PALSAR & Wet SR"
"237",0.000980877974082104,0.000544816650077573,0.0707914476943275,0.000360275564329764,0.0943669642263016,9.77563290048688e-05,0.646826665694603,"PALSAR & Wet+Dry SR"
"238",0.00126168468931041,0.00054461440544319,0.0706825043823992,0.000360711701923531,0.0943352752529041,9.79122487205083e-05,0.646991874453246,"All"
"239",0.000861995261548026,0.00059126351269974,0.0773391226846749,0.000387590017443568,0.102410058559934,0.000113814564585897,0.584138263911695,"Wet SR"
"240",0.000822959819535521,0.00059601484622883,0.0778352733592138,0.000391533503091394,0.1032326387497,0.000115945283890275,0.577472473649416,"Wet SR+VI"
"241",-0.000219433692696112,0.000641960275502784,0.0836962427874324,0.000422607379732265,0.111187291471927,0.000132786501509277,0.510975868042182,"Wet VI"
"242",0.00051469532587395,0.000575526124308881,0.0748855640797677,0.000379866333193498,0.0996820547716539,0.000108915762319723,0.606201256095614,"Dry SR"
